               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              5.6206,              7.2305,              5.3197,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070214,           0.0033095,           0.0033095
                   1,              5.7295,              7.2069,              5.3229,          0.00011291,           0.0018927,          5.7079e-05,          1.9408e-05,                   0,                   0,                   0,            0.040149,           0.0065771,           0.0065771
                   2,              5.7029,              7.2025,              5.3064,          0.00046174,           0.0023521,          5.6389e-05,           1.628e-05,                   0,                   0,                   0,            0.010017,           0.0097787,           0.0097787
                   3,               5.624,              7.1443,              5.2823,          0.00021936,           0.0052778,          0.00015096,           3.397e-05,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,               5.724,               7.134,              5.2689,          0.00065473,           0.0023521,          0.00016145,          2.1998e-05,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              5.5438,              7.0349,              5.2302,          0.00090076,            0.010994,          0.00074077,          0.00027207,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              5.1342,               6.848,              5.1013,           0.0033383,              0.1045,           0.0045219,           0.0014711,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              4.3626,              5.9674,              4.6563,            0.017766,              0.1427,            0.015971,           0.0092024,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              3.7192,              5.2192,              3.9821,           0.0075779,             0.22135,            0.013452,           0.0048188,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              3.2721,              4.7792,              3.4996,           0.0046491,             0.20039,           0.0076083,            0.003013,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              2.9421,              4.5211,              3.2482,             0.36316,            0.084399,            0.049021,             0.02357,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,               2.747,              4.3385,              2.9959,             0.32317,             0.15741,            0.067795,            0.035842,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              2.7404,              4.0687,              2.7887,             0.56875,              0.1579,             0.12267,            0.066438,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,              2.5403,              3.8686,              2.6281,              0.5772,             0.17645,             0.16065,             0.08883,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,              2.4467,              3.6906,              2.4808,             0.63803,             0.20631,             0.20952,             0.11989,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,              2.3493,              3.5226,              2.3889,             0.53993,             0.27105,              0.2713,             0.16632,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,              2.3115,              3.4362,              2.3663,             0.70657,             0.24148,             0.28442,              0.1706,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,              2.3015,              3.2793,              2.3091,             0.40349,             0.40528,             0.36999,             0.22931,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  18,              2.2606,              3.1625,              2.2788,             0.48787,             0.42393,             0.41385,             0.25273,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  19,              2.1806,              3.0192,               2.277,             0.60989,             0.39153,             0.46026,             0.28379,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  20,              2.1598,              2.9314,              2.1361,             0.67499,             0.38698,             0.48524,             0.29273,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  21,              2.1645,              2.8024,              2.1138,             0.48921,             0.56937,             0.57007,             0.34655,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  22,              2.1155,              2.7096,              2.1106,             0.65876,             0.50278,             0.58798,             0.36316,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  23,               2.086,              2.6039,              2.0996,             0.64046,             0.57591,             0.65703,             0.40365,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
